"Department.Code","Department.Name","SubDept.Code","SubDept.Name","Program.Code","Program.Name","Performance.Measure.Code","Performance.Measure.Name","Unit","Budget","Performance.Measure.Amount"
"6","Animal Services","06LVL5","Animal Services","609","Public Counters and Community Services","06VOLUNTEER","Number of Volunteer Hours",NA,"2017-18 Adopted",63250
"8","Building and Safety","08LVL5","Building and Safety","811","Structural Plan Checking","08PLANCHECK","Percent of Plan Check Jobs Completed in 15 Days",NA,"2017-18 Adopted",80
"8","Building and Safety","08LVL5","Building and Safety","812","Green Buildings and Electrical and Mechanical Engineering","08MECHPLANCK","Percent of Mechanical Plan Check Jobs Completed in 15 Days",NA,"2017-18 Adopted",90
"8","Building and Safety","08LVL5","Building and Safety","813","Grading Reports and Inspection","08GRADEREPORT","Percent of New Grading Reports Completed in 30 Days",NA,"2017-18 Adopted",100
"8","Building and Safety","08LVL5","Building and Safety","814","Residential Inspection","08RESINSPECT","Percent of Residential Inspections Completed in 24 Hours",NA,"2017-18 Adopted",93
"8","Building and Safety","08LVL5","Building and Safety","815","Commercial Inspection and Licensing","08PLUMBINSPECT","Percent of Plumbing Inspections Completed in 24 Hours",NA,"2017-18 Adopted",90
"8","Building and Safety","08LVL5","Building and Safety","816","Development Services Case Management","08CASEMGMT","Percent of Case Management Projects Contacted in 5 Days",NA,"2017-18 Adopted",100
"8","Building and Safety","08LVL5","Building and Safety","817","Residential and Commercial Code Enforcement","08COMPLAINT","Percent of Code Enforcement Complaints Closed in 60 Days",NA,"2017-18 Adopted",50
"8","Building and Safety","08LVL5","Building and Safety","818","Conservation of Existing Structures and Mechanical Devices","08RESPROPERTY","Percent of Residential Property Reports Completed in 15 Days",NA,"2017-18 Adopted",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1001","Budget Formulation and Control","10RF%GF","Reserve Fund as a Percent of the Adopted General Fund Budget",NA,"2017-18 Adopted",5.09
"10","City Administrative Officer","10LVL5","City Administrative Officer","1002","Management Services","10IFAPPS","Percent of Submitted Innovation Fund Applications Reviewed",NA,"2017-18 Adopted",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1003","Employee Relations Compensation and Benefits","10PAYGRADE","Average Length of Time to Review Pay Grade Advancements","in days","2017-18 Adopted",45
"10","City Administrative Officer","10LVL5","City Administrative Officer","1004","Risk Management","10INSDOCSSUBMIT","Percent of Contractors Self-Submitting Ins Docs - Track4LA",NA,"2017-18 Adopted",95
"10","City Administrative Officer","10LVL5","City Administrative Officer","1006","Debt Management","10DEBTPERCENT","Approved Debt as a Percent of Special Taxes and GF Revenues",NA,"2017-18 Adopted",6.3
"10","City Administrative Officer","10LVL5","City Administrative Officer","1007","Asset Management and Capital Projects","10GF%CIP","Percent of GF Budget Appropriated for Capital Improvements",NA,"2017-18 Adopted",1.23
"10","City Administrative Officer","10LVL5","City Administrative Officer","1008","Proprietary Analysis","10CONREVTIME","Average Length of Time to Complete Contract Review","in days","2017-18 Adopted",42
"13","Cannabis Regulation","13LVL5","Cannabis Regulation","1301","Regulations and Licensing","13CANNABISLICENSES","Number of Cannabis Businesses Licensed",NA,"2017-18 Adopted",200
"14","City Clerk","14LVL5","City Clerk","1401","Council and Public Services","14CITYRECORDS","Number of City Records Viewed",NA,"2017-18 Adopted",2250000
"14","City Clerk","14LVL5","City Clerk","1402","Administration of City Elections","14VOTERAWARE","Number of Public Forums Held to Increase Voter Awareness",NA,"2017-18 Adopted",10
"14","City Clerk","14LVL5","City Clerk","1405","Records Management","14ARCHIVAL","Number of Archival Documents and Records Digitized on Demand",NA,"2017-18 Adopted",600
"14","City Clerk","14LVL5","City Clerk","1406","Special Assessments","14ANNUALPLAN","Number of Annual Planning Reports Submitted by March 1",NA,"2017-18 Adopted",25
"14","City Clerk","14LVL5","City Clerk","1407","Mayor and City Council Administrative Support","14ACCOUNTING","Number of Accounting Documents Processed",NA,"2017-18 Adopted",15500
"17","Ethics Commission","17LVL5","City Ethics Commission","1701","Governmental Ethics","17DISCLOSURE","Percent of Lobbying Disclosure Statements Filed on Time",NA,"2017-18 Adopted",99
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2202","Adult Workforce Development","22ADULTJOBS","Number of WIA-Funded Adults Placed in Jobs",NA,"2017-18 Adopted",10000
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2205","Economic Development","22NEWJOBS","Number of New Jobs Created Through Business Source Centers",NA,"2017-18 Adopted",1364
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2207","Youth Workforce Development","22HIRELA","Number of HireLA's Youth Placed in Employment",NA,"2017-18 Adopted",15000
"26","Controller","26LVL5","Controller","2601","Accounting and Disbursement of City Funds","26DISBURSEMENTS","Paymaster Disbursements",NA,"2017-18 Adopted",350000
"26","Controller","26LVL5","Controller","2602","Financial Reporting of City and Grant Funds","26FINREPORTS","Percent of Financial Reports Submitted On Time",NA,"2017-18 Adopted",100
"26","Controller","26LVL5","Controller","2603","Audits of City Departments and Programs","26AUDITREPORTS","Number of Audit Reports",NA,"2017-18 Adopted",15
"26","Controller","26LVL5","Controller","2604","Support of the City's Financial Systems","26FMSDOCUMENTS","Number of FMS Documents Processed Annually",NA,"2017-18 Adopted",878000
"26","Controller","26LVL5","Controller","2605","Citywide Payroll Administration","26PAYSUPP","Percent of PaySR Problem Tickets Resolved",NA,"2017-18 Adopted",0.7
"30","Cultural Affairs","30LVL5","Cultural Affairs","3001","Community Arts","30ARTFACILITIES","Number of Individuals Served by Arts Facilities and Centers",NA,"2017-18 Adopted",400000
"30","Cultural Affairs","30LVL5","Cultural Affairs","3002","Marketing and Development","30LEVERAGED","Donations Received as a Percent of DCA Operating Budget",NA,"2017-18 Adopted",3.5
"30","Cultural Affairs","30LVL5","Cultural Affairs","3003","Public Art","30ARTPROJECTS","Number of Public Art Projects Completed During the Year",NA,"2017-18 Adopted",10
"30","Cultural Affairs","30LVL5","Cultural Affairs","3004","Grants Program","30RESIDENTS","Number of Los Angeles Residents and Visitors Served","in millions","2017-18 Adopted",3.25
"32","Information Technology Agency","32LVL5","Information Technology Agency","3201","Public Safety Systems Development and Support","32PSSYSTEMS","Percent of System Availability for Public Safety Systems",NA,"2017-18 Adopted",99.92
"32","Information Technology Agency","32LVL5","Information Technology Agency","3202","Public Safety Communications","32PSRADIO","Percent of System Availability for LAFD & LAPD Radio Systems",NA,"2017-18 Adopted",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3203","Customer Engagement","32311CALLS","Percent of 3-1-1 Calls Answered",NA,"2017-18 Adopted",90
"32","Information Technology Agency","32LVL5","Information Technology Agency","3204","Cable Television","32CH35PROG","Hours of Channel 35 Programming Produced",NA,"2017-18 Adopted",300
"32","Information Technology Agency","32LVL5","Information Technology Agency","3206","Office Systems Support","32EMAIL","Percent of Email System Availability",NA,"2017-18 Adopted",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3207","Systems Development and Support","32LATAX","Percent of LATAX System Availability in Tax Renewal Season",NA,"2017-18 Adopted",99.9
"32","Information Technology Agency","32LVL5","Information Technology Agency","3208","Enterprise and Distributed Systems and Operation","32DATACENTER","Percent of Data Center Servers Virtualized",NA,"2017-18 Adopted",85
"32","Information Technology Agency","32LVL5","Information Technology Agency","3209","Network Engineering and Operations","32VOICE","Percent of Voice, Call Center, & Video Systems Availability",NA,"2017-18 Adopted",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3210","Data Engineering and Operations","32NETWORK","Percent of Network Availability",NA,"2017-18 Adopted",99.7
"32","Information Technology Agency","32LVL5","Information Technology Agency","3211","Business Applications and Web Services","32WEBSITE","Percent of LACity.org Website Availability",NA,"2017-18 Adopted",100
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3301","History and Museums","33ELPTOURS","Number of Tours at the El Pueblo Monument",NA,"2017-18 Adopted",10000
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3302","Marketing and Events","33ELPATTEND","Number of Cultural, Traditional, and Informational Attendees",NA,"2017-18 Adopted",500000
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3348","Property Management","33PERCENTWO","Percent of Work Orders Completed",NA,"2017-18 Adopted",85
"35","Emergency Management","35LVL5","Emergency Management","3501","Emergency Management","35COMMUNITYPLAN","Number of Neighborhood/Community Plans Prepared",NA,"2017-18 Adopted",50
"35","Emergency Management","35LVL5","Emergency Management","3501","Emergency Management","35NOTIFYLA","Number of New Subscribers Registered for NotifyLA",NA,"2017-18 Adopted",20000
"36","Employee Relations Board","36LVL5","Employee Relations Board","3601","Employee Relations","36UERP","Number of UERP Related Filings",NA,"2017-18 Adopted",105
"38","Fire","38LVL5","Fire","3801","Arson Investigation and Counter-Terrorism","38INVESTIGATION","Percentage Convictions in Arson Cases",NA,"2017-18 Adopted",85
"38","Fire","38LVL5","Fire","3803","Fire Suppression","38FIRETRAVEL","Average Travel Time to Fire Incident","in minutes.seconds","2017-18 Adopted",4
"38","Fire","38LVL5","Fire","3803","Fire Suppression","38FIRETURNOUT","Average Time to Leave Station after Notified - Fire Incident","in minutes.seconds","2017-18 Adopted",1
"38","Fire","38LVL5","Fire","3804","Metropolitan Fire Communications","38DISPATCH","Call Processing Time","in minutes","2017-18 Adopted",1
"38","Fire","38LVL5","Fire","3805","Hazardous Materials Enforcement","38REVENUE","Hazardous Materials Enforcement Revenue Collected","in millions","2017-18 Adopted",6
"38","Fire","38LVL5","Fire","3806","Fire Prevention","38INSPECTION","Percent of Construction Inspections Completed in 72 hours",NA,"2017-18 Adopted",95
"38","Fire","38LVL5","Fire","3808","Emergency Medical Service","38EMSTRAVEL","Average Travel Time to EMS Incident","in minutes.seconds","2017-18 Adopted",4
"38","Fire","38LVL5","Fire","3808","Emergency Medical Service","38EMSTURNOUT","Average Time to Leave Station after Notified - EMS Incident","in minutes.seconds","2017-18 Adopted",1
"38","Fire","38LVL5","Fire","3847","Training","38TRAINING","Recruit Class Retention Rate","percentage","2017-18 Adopted",80
"38","Fire","38LVL5","Fire","3848","Procurement, Maintenance and Repair","38FLEET","Fleet Availability Rate","percentage","2017-18 Adopted",84
"39","Finance","39LVL5","Finance","3901","Revenue Management","39LIEN","Percent of Lien Cases Solved",NA,"2017-18 Adopted",75
"39","Finance","39LVL5","Finance","3902","Treasury Services","39TREASURY","Percent of Treasury Management Requests Resolved in One Day",NA,"2017-18 Adopted",80
"39","Finance","39LVL5","Finance","3905","LATAX System Support","39LATAX","Number of Renewals Processed in LATAX",NA,"2017-18 Adopted",672000
"39","Finance","39LVL5","Finance","3906","Customer Support","39CALLS","Percent of Call Center Calls Answered",NA,"2017-18 Adopted",85
"39","Finance","39LVL5","Finance","3908","Investment","39EFFECTIVEYIELD","Effective Yield Relative to other California Municipalities","quartiles","2017-18 Adopted",4
"39","Finance","39LVL5","Finance","3909","Tax and Permit","39AUDIT","Percent of Accounts Audited",NA,"2017-18 Adopted",7
"40","General Services","40LVL5","General Services","4001","Custodial Services","40CLEAN","Percent of Municipal Facilities Cleaned Daily",NA,"2017-18 Adopted",100
"40","General Services","40LVL5","General Services","4002","Building Maintenance","40ENERGYAUDITS","Number of Energy Audits Completed",NA,"2017-18 Adopted",20
"40","General Services","40LVL5","General Services","4003","Construction Forces","40CONSTESTIMATE","Construction Projects Completed within Original Estimate","Percentage","2017-18 Adopted",75
"40","General Services","40LVL5","General Services","4004","Real Estate Services","40ASSETMGMT","Asset Management System Implementation Tasks Completed","Percentage","2017-18 Adopted",100
"40","General Services","40LVL5","General Services","4005","Parking Services","40PARKINGREV","Revenue from Department-Operated Parking Facilities","in millions of dollars","2017-18 Adopted",12
